iter	Passed	Remaining
1580	3505	218194
1581	3507	218195
1582	3509	218214
1583	3512	218238
1584	3514	218206
1585	3516	218200
1586	3518	218195
1587	3520	218177
1588	3522	218158
1589	3524	218145
1590	3526	218129
1591	3529	218170
1592	3531	218174
1593	3532	218095
1594	3534	218071
1595	3536	218047
1596	3538	218030
1597	3540	218017
1598	3542	218015
1599	3545	218035
1600	3547	218018
1601	3549	218007
1602	3551	217984
1603	3553	217959
1604	3554	217932
1605	3556	217898
1606	3558	217909
1607	3560	217887
1608	3563	217894
1609	3565	217908
1610	3567	217893
1611	3569	217888
1612	3571	217873
1613	3574	217870
1614	3576	217854
1615	3577	217830
1616	3579	217798
1617	3581	217768
1618	3583	217733
1619	3584	217699
1620	3586	217681
1621	3588	217643
1622	3590	217642
1623	3592	217621
1624	3594	217582
1625	3595	217557
1626	3597	217523
1627	3599	217508
1628	3601	217479
1629	3603	217443
1630	3604	217421
1631	3606	217407
1632	3608	217372
1633	3610	217356
1634	3612	217335
1635	3614	217336
1636	3616	217313
1637	3618	217275
1638	3620	217257
1639	3622	217262
1640	3624	217234
1641	3626	217210
1642	3628	217207
1643	3630	217185
1644	3632	217166
1645	3633	217128
1646	3635	217102
1647	3637	217077
1648	3639	217059
1649	3640	216976
1650	3642	216992
1651	3644	216983
1652	3646	216972
1653	3649	216984
1654	3651	216969
1655	3653	216967
1656	3655	216973
1657	3658	216977
1658	3660	216966
1659	3661	216938
1660	3663	216919
1661	3665	216893
1662	3668	216898
1663	3670	216900
1664	3672	216880
1665	3674	216875
1666	3676	216854
1667	3678	216852
1668	3680	216825
1669	3682	216810
1670	3685	216845
1671	3687	216829
1672	3688	216803
1673	3690	216781
1674	3692	216751
1675	3694	216723
1676	3696	216699
1677	3699	216749
1678	3700	216717
1679	3702	216676
1680	3704	216646
1681	3705	216624
1682	3707	216597
1683	3709	216562
1684	3711	216543
1685	3713	216519
1686	3715	216510
1687	3716	216483
1688	3718	216451
1689	3720	216413
1690	3722	216389
1691	3723	216365
1692	3726	216381
1693	3728	216360
1694	3730	216368
1695	3732	216355
1696	3734	216342
1697	3736	216311
1698	3738	216293
1699	3742	216375
1700	3745	216425
1701	3747	216428
1702	3749	216410
1703	3751	216389
1704	3753	216397
1705	3755	216378
1706	3757	216363
1707	3759	216351
1708	3762	216367
1709	3764	216356
